ID,Japan,Black African Countries,East Europe,Egypt,Gulf countries,USA,Uk,Germany,India,China,Italy,France,Spain,North Europe,South East Asia,Korea,Russia
1,Haruki Murakami,Chadwick Boseman,Vanessa Haywood,Mohamed Salah,Hussain Al Jassmi,Brad Pitt,Emma Watson,Angela Merkel,Priyanka Chopra,Jackie Chan,Sophia Loren,Marion Cotillard,Rafael Nadal,Lee Jun-ki,Amitabh Bachchan,Li Bingbing,Vladimir Putin
2,Hiroyuki Sanada,Lupita Nyong'o,Ibrahim Ahmed,Amr Diab,Nancy Ajram,Leonardo DiCaprio,Daniel Radcliffe,Thomas Müller,Shah Rukh Khan,Fan Bingbing,Monica Bellucci,Catherine Deneuve,Rosalia,Jens Stoltenberg,Tony Fernandes,Lee Min-ho,Dmitry Medvedev
3,Masashi Kishimoto,Idris Elba,Flaviana Matata,Yousra,Balqees Ahmed Fathi,Dwayne Johnson,Benedict Cumberbatch,Michael Schumacher,Deepika Padukone,Jet Li,Giancarlo Giannini,Juliette Binoche,Penélope Cruz,Erna Solberg,Anthony Tan,Lee Byung-hun,Angela Merkel
4,,Yemi Alade,Lupita Nyong'o,Tamer Hosny,Kadim Al Sahir,Johnny Depp,Keira Knightley,Sebastian Vettel,Amitabh Bachchan,Donnie Yen,Marcello Mastroianni,Brigitte Bardot,Pedro Almodóvar,Jacinda Ardern,,Lee Jong-suk,
5,,Burna Boy,Angélique Kidjo,Mona Zaki,Rashed Al Majed,Tom Hanks,Emma Thompson,Philipp Lahm,Aishwarya Rai,Li Bingbing,Gina Lollobrigida,Isabelle Huppert,Enrique Iglesias,Angela Merkel,,Park Bo-gum,
6,,Davido,,Hamada Helal,Mahmoud Abdulaziz,Will Smith,Hugh Grant,Boris Becker,Kareena Kapoor,Chow Yun-fat,Monica Vitti,Alain Delon,Sergio Ramos,Mette Frederiksen,,Gong Yoo,
7,,Tiwa Savage,,Ahmed Helmy,Majid Al Mohandis,Robert Downey Jr.,Judi Dench,Dirk Nowitzki,Salman Khan,Zhang Ziyi,Claudia Cardinale,Monica Bellucci,Javier Bardem,,,,
8,,Wizkid,,Assala Nasri,Fayez Al Saeed,Chris Hemsworth,Emily Blunt,Michael Ballack,Alia Bhatt,Jay Chou,,Léa Seydoux,,,,,
9,,Angelique Kidjo,,Sherine Abdel-Wahab,Khaled Abdulrahman,Chris Evans,Tom Hardy,Manuel Neuer,Katrina Kaif,Stephen Chow,,Mélanie Laurent,,,,,
10,,Angélique Kidjo,,Yasmine Sabry,Aseel Omran,Tom Cruise,Daisy Ridley,Bastian Schweinsteiger,,Andy Lau,,,,,,,
11,,,,Ahmed Zaki,Abdullah Al Rowaished,Mark Wahlberg,Eddie Redmayne,Franz Beckenbauer,,,,,,,,,
12,,,,Hend Rostom,Mohamed Abdu,Ryan Reynolds,Kate Winslet,Jürgen Klopp,,,,,,,,,
13,,,,Nelly Karim,Ahmed Al Harmi,Chris Pratt,Jude Law,Oliver Kahn,,,,,,,,,
14,,,,Haifa Wehbe,Abdallah Ruwaished,Adam Sandler,Naomie Harris,,,,,,,,,,
15,,,,Ramy Sabry,Mohammed Abdu,Bradley Cooper,Carey Mulligan,,,,,,,,,,
16,,,,Yosra El Lozy,Abadi Al Johar,,Lily Collins,,,,,,,,,,
17,,,,Ragheb Alama,Khalid Abdulrahman,,,,,,,,,,,,
18,,,,Ahlam,,,,,,,,,,,,,
19,,,,Carmen Suleiman,,,,,,,,,,,,,
20,,,,Amina Karam,,,,,,,,,,,,,
21,,,,Hend Sabry,,,,,,,,,,,,,
22,,,,Angham,,,,,,,,,,,,,
23,,,,Donia Samir Ghanem,,,,,,,,,,,,,
24,,,,Samira Said,,,,,,,,,,,,,
25,,,,Dorra Zarrouk,,,,,,,,,,,,,
26,,,,Asala Nasri,,,,,,,,,,,,,
27,,,,Mai Ezz Eldin,,,,,,,,,,,,,
28,,,,Elissa,,,,,,,,,,,,,
29,,,,Shereen Abdel Wahab,,,,,,,,,,,,,
30,,,,Ahmed Al Sherif,,,,,,,,,,,,,
31,,,,Sabrine,,,,,,,,,,,,,
32,,,,Mai Selim,,,,,,,,,,,,,
33,,,,Mohamed Mounir,,,,,,,,,,,,,
34,,,,Naglaa Fathy,,,,,,,,,,,,,
35,,,,Hala Shiha,,,,,,,,,,,,,
36,,,,Khaled Agag,,,,,,,,,,,,,
37,,,,Rania Youssef,,,,,,,,,,,,,
38,,,,Ahmed Fahmy,,,,,,,,,,,,,
39,,,,Mohamed Ramadan,,,,,,,,,,,,,
40,,,,Rania Farid Shawki,,,,,,,,,,,,,
41,,,,Sherihan,,,,,,,,,,,,,
42,,,,Khaled Selim,,,,,,,,,,,,,
43,,,,Dalia Mostafa,,,,,,,,,,,,,
44,,,,Tamer Ashour,,,,,,,,,,,,,
45,,,,Laila Eloui,,,,,,,,,,,,,
46,,,,Hisham Abbas,,,,,,,,,,,,,
47,,,,Asmaa Abulyazeid,,,,,,,,,,,,,
48,,,,Elham Shahin,,,,,,,,,,,,,
49,,,,Karim Mahmoud Abd el-Aziz,,,,,,,,,,,,,
50,,,,Ghada Abdel Razek,,,,,,,,,,,,,
51,,,,Salwa Mohamed Aly,,,,,,,,,,,,,
52,,,,Dina El Sherbiny,,,,,,,,,,,,,
53,,,,Menna Shalaby,,,,,,,,,,,,,
54,,,,Hassan Al Raddad,,,,,,,,,,,,,
55,,,,Rana Samaha,,,,,,,,,,,,,
56,,,,Lebleba,,,,,,,,,,,,,
57,,,,Samira Saeed,,,,,,,,,,,,,
58,,,,Shereen Reda,,,,,,,,,,,,,
59,,,,Amy Samir Ghanem,,,,,,,,,,,,,
60,,,,Ruby,,,,,,,,,,,,,
61,,,,Carmen Soliman,,,,,,,,,,,,,
62,,,,Nawal El Zoghbi,,,,,,,,,,,,,
63,,,,Myriam Fares,,,,,,,,,,,,,
64,,,,Hussein Al Jasmi,,,,,,,,,,,,,
65,,,,Laila Elwi,,,,,,,,,,,,,
66,,,,Hussein Fahmy,,,,,,,,,,,,,
67,,,,Latifa,,,,,,,,,,,,,
68,,,,Nesma Mahgoub,,,,,,,,,,,,,
69,,,,Sherine Abdel Wahab,,,,,,,,,,,,,
70,,,,Yusra,,,,,,,,,,,,,
71,,,,Razan Maghraby,,,,,,,,,,,,,
72,,,,Amina,,,,,,,,,,,,,
73,,,,Nelly Makdessy,,,,,,,,,,,,,
74,,,,Yasmine Khedr,,,,,,,,,,,,,
75,,,,Nawal Al Zoghbi,,,,,,,,,,,,,
76,,,,Latifa Raafat,,,,,,,,,,,,,
77,,,,Sherine,,,,,,,,,,,,,
78,,,,Nancy Ajram,,,,,,,,,,,,,
79,,,,Hoda Saad,,,,,,,,,,,,,
80,,,,Nawal Al Kuwaitia,,,,,,,,,,,,,
81,,,,Dina El-Wedidi,,,,,,,,,,,,,
82,,,,Elham Wagdi,,,,,,,,,,,,,
83,,,,Adel Imam,,,,,,,,,,,,,
84,,,,Anoushka,,,,,,,,,,,,,
85,,,,Gamal Abdel Nasser,,,,,,,,,,,,,
86,,,,Amal Maher,,,,,,,,,,,,,
87,,,,Essam Karika,,,,,,,,,,,,,
88,,,,Roger,,,,,,,,,,,,,
89,,,,Hassan El Shafei,,,,,,,,,,,,,
90,,,,Hazem Emam,,,,,,,,,,,,,
91,,,,Salah El Din El Sabbahi,,,,,,,,,,,,,
92,,,,Rahma Riyadh,,,,,,,,,,,,,
93,,,,Yousra El Lozy,,,,,,,,,,,,,
94,,,,Ramadan Sobhy,,,,,,,,,,,,,
95,,,,Mahmoud Trezeguet,,,,,,,,,,,,,
96,,,,Hassan Shehata,,,,,,,,,,,,,
97,,,,Sherif Mounir,,,,,,,,,,,,,
98,,,,Somaya El Khashab,,,,,,,,,,,,,
99,,,,Yasmine Sabri,,,,,,,,,,,,,
100,,,,Ahmed Mekky,,,,,,,,,,,,,
101,,,,Ramy Ayach,,,,,,,,,,,,,
102,,,,Ramez Galal,,,,,,,,,,,,,
103,,,,Hany Ramzy,,,,,,,,,,,,,
104,,,,Adel Emam,,,,,,,,,,,,,
105,,,,Amina Khalil,,,,,,,,,,,,,
106,,,,Randa Hafez,,,,,,,,,,,,,
107,,,,Ahmed El Sakka,,,,,,,,,,,,,
108,,,,Hossam Habib,,,,,,,,,,,,,
