ID,Name,Area
1,Haruki Murakami,Japan
2,Hiroyuki Sanada,Japan
3,Masashi Kishimoto,Japan
4,Chadwick Boseman,Black African Countries
5,Lupita Nyong'o,Black African Countries
6,Idris Elba,Black African Countries
7,Yemi Alade,Black African Countries
8,Burna Boy,Black African Countries
9,Davido,Black African Countries
10,Tiwa Savage,Black African Countries
11,Wizkid,Black African Countries
12,Angelique Kidjo,Black African Countries
13,Vanessa Haywood,East Europe
14,Ibrahim Ahmed,East Europe
15,Flaviana Matata,East Europe
16,Lupita Nyong'o,East Europe
17,Angélique Kidjo,East Europe
18,Mohamed Salah,Egypt
19,Amr Diab,Egypt
20,Yousra,Egypt
21,Tamer Hosny,Egypt
22,Mona Zaki,Egypt
23,Hamada Helal,Egypt
24,Ahmed Helmy,Egypt
25,Assala Nasri,Egypt
26,Sherine Abdel-Wahab,Egypt
27,Yasmine Sabry,Egypt
28,Ahmed Zaki,Egypt
29,Hend Rostom,Egypt
30,Nelly Karim,Egypt
31,Haifa Wehbe,Egypt
32,Ramy Sabry,Egypt
33,Yosra El Lozy,Egypt
34,Ragheb Alama,Egypt
35,Ahlam,Egypt
36,Carmen Suleiman,Egypt
37,Amina Karam,Egypt
38,Hend Sabry,Egypt
39,Angham,Egypt
40,Donia Samir Ghanem,Egypt
41,Samira Said,Egypt
42,Dorra Zarrouk,Egypt
43,Asala Nasri,Egypt
44,Mai Ezz Eldin,Egypt
45,Elissa,Egypt
46,Shereen Abdel Wahab,Egypt
47,Ahmed Al Sherif,Egypt
48,Sabrine,Egypt
49,Mai Selim,Egypt
50,Mohamed Mounir,Egypt
51,Naglaa Fathy,Egypt
52,Hala Shiha,Egypt
53,Khaled Agag,Egypt
54,Rania Youssef,Egypt
55,Ahmed Fahmy,Egypt
56,Mohamed Ramadan,Egypt
57,Rania Farid Shawki,Egypt
58,Sherihan,Egypt
59,Khaled Selim,Egypt
60,Dalia Mostafa,Egypt
61,Tamer Ashour,Egypt
62,Laila Eloui,Egypt
63,Hisham Abbas,Egypt
64,Asmaa Abulyazeid,Egypt
65,Elham Shahin,Egypt
66,Karim Mahmoud Abd el-Aziz,Egypt
67,Ghada Abdel Razek,Egypt
68,Salwa Mohamed Aly,Egypt
69,Dina El Sherbiny,Egypt
70,Menna Shalaby,Egypt
71,Hassan Al Raddad,Egypt
72,Rana Samaha,Egypt
73,Lebleba,Egypt
74,Samira Saeed,Egypt
75,Shereen Reda,Egypt
76,Amy Samir Ghanem,Egypt
77,Ruby,Egypt
78,Carmen Soliman,Egypt
79,Nawal El Zoghbi,Egypt
80,Myriam Fares,Egypt
81,Hussein Al Jasmi,Egypt
82,Laila Elwi,Egypt
83,Hussein Fahmy,Egypt
84,Latifa,Egypt
85,Nesma Mahgoub,Egypt
86,Sherine Abdel Wahab,Egypt
87,Yusra,Egypt
88,Razan Maghraby,Egypt
89,Amina,Egypt
90,Nelly Makdessy,Egypt
91,Yasmine Khedr,Egypt
92,Nawal Al Zoghbi,Egypt
93,Latifa Raafat,Egypt
94,Sherine,Egypt
95,Nancy Ajram,Egypt
96,Hoda Saad,Egypt
97,Nawal Al Kuwaitia,Egypt
98,Dina El-Wedidi,Egypt
99,Elham Wagdi,Egypt
100,Adel Imam,Egypt
101,Anoushka,Egypt
102,Gamal Abdel Nasser,Egypt
103,Amal Maher,Egypt
104,Essam Karika,Egypt
105,Roger,Egypt
106,Hassan El Shafei,Egypt
107,Hazem Emam,Egypt
108,Salah El Din El Sabbahi,Egypt
109,Rahma Riyadh,Egypt
110,Yousra El Lozy,Egypt
111,Ramadan Sobhy,Egypt
112,Mahmoud Trezeguet,Egypt
113,Hassan Shehata,Egypt
114,Sherif Mounir,Egypt
115,Somaya El Khashab,Egypt
116,Yasmine Sabri,Egypt
117,Ahmed Mekky,Egypt
118,Ramy Ayach,Egypt
119,Ramez Galal,Egypt
120,Hany Ramzy,Egypt
121,Adel Emam,Egypt
122,Amina Khalil,Egypt
123,Randa Hafez,Egypt
124,Ahmed El Sakka,Egypt
125,Hossam Habib,Egypt
126,Hussain Al Jassmi,Gulf countries
127,Nancy Ajram,Gulf countries
128,Balqees Ahmed Fathi,Gulf countries
129,Kadim Al Sahir,Gulf countries
130,Rashed Al Majed,Gulf countries
131,Mahmoud Abdulaziz,Gulf countries
132,Majid Al Mohandis,Gulf countries
133,Fayez Al Saeed,Gulf countries
134,Khaled Abdulrahman,Gulf countries
135,Aseel Omran,Gulf countries
136,Abdullah Al Rowaished,Gulf countries
137,Mohamed Abdu,Gulf countries
138,Ahmed Al Harmi,Gulf countries
139,Abdallah Ruwaished,Gulf countries
140,Mohammed Abdu,Gulf countries
141,Abadi Al Johar,Gulf countries
142,Khalid Abdulrahman,Gulf countries
143,Brad Pitt,USA
144,Leonardo DiCaprio,USA
145,Dwayne Johnson,USA
146,Johnny Depp,USA
147,Tom Hanks,USA
148,Will Smith,USA
149,Robert Downey Jr.,USA
150,Chris Hemsworth,USA
151,Chris Evans,USA
152,Tom Cruise,USA
153,Mark Wahlberg,USA
154,Ryan Reynolds,USA
155,Chris Pratt,USA
156,Adam Sandler,USA
157,Bradley Cooper,USA
158,Emma Watson,Uk
159,Daniel Radcliffe,Uk
160,Benedict Cumberbatch,Uk
161,Keira Knightley,Uk
162,Emma Thompson,Uk
163,Hugh Grant,Uk
164,Judi Dench,Uk
165,Emily Blunt,Uk
166,Tom Hardy,Uk
167,Daisy Ridley,Uk
168,Eddie Redmayne,Uk
169,Kate Winslet,Uk
170,Jude Law,Uk
171,Naomie Harris,Uk
172,Carey Mulligan,Uk
173,Lily Collins,Uk
174,Angela Merkel,Germany
175,Thomas Müller,Germany
176,Michael Schumacher,Germany
177,Sebastian Vettel,Germany
178,Philipp Lahm,Germany
179,Boris Becker,Germany
180,Dirk Nowitzki,Germany
181,Michael Ballack,Germany
